pdb_id,site,glycan_class,tool_a,tool_b,comparison,n_common_residues,n_residues_tool_a,n_residues_tool_b,coverage_tool_a,coverage_tool_b,pearson_mean_delta_sasa,spearman_mean_delta_sasa,mae_mean_delta_sasa_a2,rmse_mean_delta_sasa_a2,sum_mean_delta_sasa_tool_a,sum_mean_delta_sasa_tool_b,delta_sum_mean_delta_sasa_b_minus_a,pearson_masking_frequency,spearman_masking_frequency,mae_masking_frequency,masked_residues_tool_a,masked_residues_tool_b,masked_residue_overlap,masked_residue_union,masked_residue_jaccard
2QWB,ASN200_A,high_mannose,reference,glycoshield,reference_vs_glycoshield,388,388,388,1.0,1.0,0.8680449107299291,0.427797935261313,0.16723921649484533,1.556108239367282,92.27053699999999,110.482719,18.212182000000013,0.8215054583736152,0.4396446123577322,0.006185556701030929,3,16,3,16,0.1875
2QWB,ASN200_A,high_mannose,reference,glycoshape,reference_vs_glycoshape,388,388,388,1.0,1.0,0.9874590465624788,0.7766025096694731,0.041733912371134024,0.5014370718179456,92.27053699999999,90.61150500000001,-1.659031999999982,0.9539860257290195,0.7765997585381309,0.00197594587628866,3,5,3,5,0.6
2QWB,ASN200_A,high_mannose,glycoshield,glycoshape,glycoshield_vs_glycoshape,388,388,388,1.0,1.0,0.8627753476194551,0.5508582961486778,0.16832269072164951,1.5033983928455432,110.482719,90.61150500000001,-19.871213999999995,0.908186848297994,0.5662114685985652,0.004896899484536082,16,5,5,16,0.3125
3AVE,ASN297_A,complex,reference,glycoshield,reference_vs_glycoshield,419,419,419,1.0,1.0,0.4019865691103462,0.42691128270754325,1.1447544033412886,7.218819303128154,502.08643399999994,121.54043300000001,-380.54600099999993,0.515836523306337,0.419515802982557,0.03532218377088305,16,40,11,45,0.24444444444444444
3AVE,ASN297_A,complex,reference,glycoshape,reference_vs_glycoshape,419,419,419,1.0,1.0,0.5902070354042888,0.6760805309650957,0.8872657589498807,6.355013076305587,502.08643399999994,216.637407,-285.44902699999994,0.6598568194808754,0.6697039076561707,0.02346857756563246,16,11,9,18,0.5
3AVE,ASN297_A,complex,glycoshield,glycoshape,glycoshield_vs_glycoshape,419,419,419,1.0,1.0,0.7874997619456829,0.4912514779255023,0.37884621957040576,2.518587985868947,121.54043300000001,216.637407,95.09697399999999,0.7101528537088064,0.5224561599068048,0.018536183770883057,40,11,11,40,0.275
3AVE,ASN297_B,complex,reference,glycoshield,reference_vs_glycoshield,419,419,419,1.0,1.0,0.3774180239431468,0.3832202705781229,1.2522992219570406,7.060676360813585,482.781707,196.544439,-286.237268,0.3667095187097578,0.3329809103252598,0.04224343914081145,15,49,10,54,0.18518518518518517
3AVE,ASN297_B,complex,reference,glycoshape,reference_vs_glycoshape,419,419,419,1.0,1.0,0.8721790070255707,0.7643130978892122,0.6320835513126492,4.293237130767235,482.781707,283.152585,-199.629122,0.8085419639705402,0.7287140646600427,0.017263329355608592,15,18,12,21,0.5714285714285714
3AVE,ASN297_B,complex,glycoshield,glycoshape,glycoshield_vs_glycoshape,419,419,419,1.0,1.0,0.4758513345842307,0.48758667429969693,0.7874413603818615,4.057980763480524,196.544439,283.152585,86.60814599999998,0.4533520950801857,0.5079399183539848,0.031503584725536986,49,18,16,51,0.3137254901960784
3DGC,ASN172_R,paucimannose,reference,glycoshield,reference_vs_glycoshield,691,691,691,1.0,1.0,0.6172947845300905,0.6495700216758581,0.3784833371924746,2.8899872676960676,282.468756,205.968778,-76.499978,0.6977916759918223,0.6332765145779617,0.016353107091172214,15,28,13,30,0.43333333333333335
3DGC,ASN172_R,paucimannose,reference,glycoshape,reference_vs_glycoshape,691,691,691,1.0,1.0,0.7888261141150457,0.9387124606117768,0.25934506222865417,2.2740641988852124,282.468756,180.276896,-102.19185999999999,0.8605853480110992,0.9687816876307597,0.01046792040520984,15,16,15,16,0.9375
3DGC,ASN172_R,paucimannose,glycoshield,glycoshape,glycoshield_vs_glycoshape,691,691,691,1.0,1.0,0.6925586879738064,0.6535668135722558,0.2656669580318379,1.969393376403435,205.968778,180.276896,-25.691881999999993,0.7902328113838051,0.6630685546495394,0.008876020260492041,28,16,14,30,0.4666666666666667
4B7I,ASN297_A,high_mannose,reference,glycoshield,reference_vs_glycoshield,398,398,398,1.0,1.0,0.4756107983031812,0.5740360142891142,0.8506905351758794,6.190865508776732,412.642523,114.14315799999999,-298.499365,0.5896257572610429,0.5565366041400097,0.028810713567839194,14,18,9,23,0.391304347826087
4B7I,ASN297_A,high_mannose,reference,glycoshape,reference_vs_glycoshape,398,398,398,1.0,1.0,0.8401541982692888,0.9291451107608389,0.4703175678391959,4.208372005531887,412.642523,232.843701,-179.79882199999997,0.8738613978156995,0.88761295313995,0.010301505025125626,14,13,12,15,0.8
4B7I,ASN297_A,high_mannose,glycoshield,glycoshape,glycoshield_vs_glycoshape,398,398,398,1.0,1.0,0.721021403304653,0.5196230040002917,0.4529035301507538,2.8327994220446033,114.14315799999999,232.843701,118.70054300000002,0.7069441204758016,0.4544276500076242,0.019346726130653264,18,13,7,24,0.2916666666666667
4C54,ASN297_A,complex,reference,glycoshield,reference_vs_glycoshield,419,419,419,1.0,1.0,0.3540612120316913,0.3989771677161952,1.3122165966587112,7.199901215959994,481.52181399999995,221.619682,-259.90213199999994,0.43501706078202884,0.38380695766005324,0.04359585202863963,15,68,13,70,0.18571428571428572
4C54,ASN297_A,complex,reference,glycoshape,reference_vs_glycoshape,419,419,419,1.0,1.0,0.7844999911121021,0.7469420232824332,0.6247635608591886,4.99438713926937,481.52181399999995,272.162374,-209.35943999999995,0.8233450922303845,0.7698027594296266,0.014399360381861575,15,19,13,21,0.6190476190476191
4C54,ASN297_A,complex,glycoshield,glycoshape,glycoshield_vs_glycoshape,419,419,419,1.0,1.0,0.508398331184327,0.4562976931507548,0.740960630071599,3.9772244328976467,221.619682,272.162374,50.54269199999999,0.55265286379892,0.45668879137498625,0.03301510739856802,68,19,17,70,0.24285714285714285
4C54,ASN297_B,complex,reference,glycoshield,reference_vs_glycoshield,419,419,419,1.0,1.0,0.42344679324667106,0.3735980711404139,1.1425153723150359,6.949248822058096,489.34653799999995,147.210781,-342.13575699999996,0.4417657378956391,0.3613758987787324,0.0418456539379475,17,48,11,54,0.2037037037037037
4C54,ASN297_B,complex,reference,glycoshape,reference_vs_glycoshape,419,419,419,1.0,1.0,0.6684367452386157,0.7047728541784296,0.8123025274463007,5.674148626069148,489.34653799999995,278.199925,-211.14661299999995,0.6969658311324703,0.7162942036362001,0.02545743675417661,17,19,13,23,0.5652173913043478
4C54,ASN297_B,complex,glycoshield,glycoshape,glycoshield_vs_glycoshape,419,419,419,1.0,1.0,0.748498190000096,0.468888266376336,0.5748191885441528,3.299185143413102,147.210781,278.199925,130.989144,0.6232821252896468,0.48089997800449236,0.025298317422434366,48,19,15,52,0.28846153846153844
5IW3,ASN320_A,complex,reference,glycoshield,reference_vs_glycoshield,208,208,208,1.0,1.0,0.26852119595395635,0.35311988560538854,2.3243468221153845,9.975046789823029,481.42624699999993,80.691166,-400.7350809999999,0.2793461553595776,0.3573874416234285,0.08621795673076924,18,21,8,31,0.25806451612903225
5IW3,ASN320_A,complex,reference,glycoshape,reference_vs_glycoshape,208,208,208,1.0,1.0,0.8414250633467459,0.5991815923853574,1.2111111153846155,5.91274771477814,481.42624699999993,260.374209,-221.05203799999992,0.7014178147848528,0.631189155944265,0.04887820192307693,18,16,11,23,0.4782608695652174
5IW3,ASN320_A,complex,glycoshield,glycoshape,glycoshield_vs_glycoshape,208,208,208,1.0,1.0,0.42476442520953356,0.5955687862647955,1.2436214855769232,6.065004222700093,80.691166,260.374209,179.683043,0.5069098893212719,0.5848879365645213,0.043750014423076924,21,16,11,26,0.4230769230769231
5L2J,ASN57_A,paucimannose,reference,glycoshield,reference_vs_glycoshield,377,377,377,1.0,1.0,0.6064265675783561,0.6353655676142149,0.5182674084880637,4.175360702057939,224.35677800000002,165.20903900000002,-59.147739,0.66147890769888,0.6595993010027271,0.023430591511936338,11,25,11,25,0.44
5L2J,ASN57_A,paucimannose,reference,glycoshape,reference_vs_glycoshape,377,377,377,1.0,1.0,0.9471564141147437,0.7840591901553463,0.2236161962864722,1.724217808614238,224.35677800000002,223.096154,-1.260624000000007,0.8321185850356267,0.8069814456068014,0.012908933687002652,11,17,11,17,0.6470588235294118
5L2J,ASN57_A,paucimannose,glycoshield,glycoshape,glycoshield_vs_glycoshape,377,377,377,1.0,1.0,0.7689854760025004,0.6698679164935593,0.4584215782493368,3.475701885599409,165.20903900000002,223.096154,57.887114999999994,0.7927204043435477,0.6209881093872354,0.014588862068965518,25,17,13,29,0.4482758620689655
5XWD,ASN328_A,complex,reference,glycoshield,reference_vs_glycoshield,838,838,838,1.0,1.0,0.7350162448971012,0.5901929303439961,0.37625606324582334,3.0021689782302325,466.96628,270.785423,-196.180857,0.840242954513023,0.6653401256853394,0.016666657517899763,24,56,24,56,0.42857142857142855
5XWD,ASN328_A,complex,reference,glycoshape,reference_vs_glycoshape,838,838,838,1.0,1.0,0.7960326992413058,0.8884479202519321,0.26499683054892603,2.5949844839062552,466.96628,390.425434,-76.54084599999999,0.9240241464705908,0.904010100818797,0.006006363961813842,24,27,23,28,0.8214285714285714
5XWD,ASN328_A,complex,glycoshield,glycoshape,glycoshield_vs_glycoshape,838,838,838,1.0,1.0,0.7849708661690632,0.6360912861413341,0.3099776264916468,2.190827796955413,270.785423,390.425434,119.64001100000002,0.8331998901503012,0.7052536167457131,0.016149551312649165,56,27,27,56,0.48214285714285715
6CMG,ASN529_A,paucimannose,reference,glycoshield,reference_vs_glycoshield,860,860,860,1.0,1.0,0.9141565753370924,0.3710715170899654,0.13309120232558141,1.083055104235195,142.937715,171.016189,28.078474,0.7226759976453445,0.38223880693119705,0.007480617441860464,5,35,5,35,0.14285714285714285
6CMG,ASN529_A,paucimannose,reference,glycoshape,reference_vs_glycoshape,860,860,860,1.0,1.0,0.9559953103285954,0.676561676076386,0.04734062558139534,0.7966433126067498,142.937715,125.711867,-17.225848,0.9578673226902062,0.7091679355819236,0.0016666674418604652,5,10,5,10,0.5
6CMG,ASN529_A,paucimannose,glycoshield,glycoshape,glycoshield_vs_glycoshape,860,860,860,1.0,1.0,0.922206546204122,0.5507745602996955,0.10873680697674419,0.8783670563723611,171.016189,125.711867,-45.304322,0.8301456112173732,0.539746664556145,0.005813949999999998,35,10,10,35,0.2857142857142857
6F9T,ASN109_A,complex,reference,glycoshield,reference_vs_glycoshield,585,585,585,1.0,1.0,0.2587144614870177,0.4741006999276629,0.6332880632478632,4.953921363784986,339.158322,145.018201,-194.140121,0.3350912304696273,0.43824850531946186,0.026552707692307692,15,16,7,24,0.2916666666666667
6F9T,ASN109_A,complex,reference,glycoshape,reference_vs_glycoshape,585,585,585,1.0,1.0,0.6042374162560425,0.6035779230731361,0.41122579316239316,3.9829762242251077,339.158322,142.522879,-196.635443,0.6032712566752981,0.5733378649256057,0.019772075213675213,15,16,9,22,0.4090909090909091
6F9T,ASN109_A,complex,glycoshield,glycoshape,glycoshield_vs_glycoshape,585,585,585,1.0,1.0,0.6049130815387277,0.7066980485601707,0.2539713948717949,2.2522480840952395,145.018201,142.522879,-2.495322000000016,0.7250043478475716,0.7500006570079876,0.009629634188034189,16,16,12,20,0.6
6FB3,ASN2365_A,high_mannose,reference,glycoshield,reference_vs_glycoshield,7344,7344,7344,1.0,1.0,0.7592406261547193,0.5906749063922877,0.04184932434640523,0.9444789278571858,396.544521,313.821969,-82.72255199999995,0.7319052772249474,0.5918244742684937,0.0018019242919389978,17,43,16,44,0.36363636363636365
6FB3,ASN2365_A,high_mannose,reference,glycoshape,reference_vs_glycoshape,7344,7344,7344,1.0,1.0,0.9318544967755411,0.8848188632715861,0.01609408755446623,0.5337384571726668,396.544521,311.512468,-85.03205299999996,0.9263657237379407,0.8999077258418051,0.0005401235021786492,17,21,17,21,0.8095238095238095
6FB3,ASN2365_A,high_mannose,glycoshield,glycoshape,glycoshield_vs_glycoshape,7344,7344,7344,1.0,1.0,0.8903063695246978,0.676616897579616,0.02780290318627451,0.5764436506718759,313.821969,311.512468,-2.3095010000000116,0.7934462975994618,0.6658786592171312,0.0014070439814814816,43,21,20,44,0.45454545454545453
6FB3,ASN2365_B,high_mannose,reference,glycoshield,reference_vs_glycoshield,7344,7344,7344,1.0,1.0,0.7665904042423631,0.5121849697972658,0.050897307325708054,1.0156104355112703,450.265472,388.82913499999995,-61.43633700000004,0.7123315839500054,0.5131873205579953,0.002137798611111111,18,61,17,62,0.27419354838709675
6FB3,ASN2365_B,high_mannose,reference,glycoshape,reference_vs_glycoshape,7344,7344,7344,1.0,1.0,0.9516251751768994,0.8391231086585315,0.017656291802832243,0.5044634555321222,450.265472,371.368559,-78.89691299999998,0.9539255508564735,0.8324654475376273,0.0005809731753812636,18,26,18,26,0.6923076923076923
6FB3,ASN2365_B,high_mannose,glycoshield,glycoshape,glycoshield_vs_glycoshape,7344,7344,7344,1.0,1.0,0.8677726122273025,0.5967755646246248,0.03620893436819172,0.6807253801431019,388.82913499999995,371.368559,-17.460575999999946,0.769878761918485,0.6026453823611488,0.0017565351307189541,61,26,24,63,0.38095238095238093
6FB3,ASN2365_C,high_mannose,reference,glycoshield,reference_vs_glycoshield,7344,7344,7344,1.0,1.0,0.7554896362069689,0.5374510339173055,0.05024471296296296,1.0412265618713783,452.41896499999996,384.813501,-67.60546399999998,0.7127525690474192,0.535623099927878,0.0020742549019607845,18,56,17,57,0.2982456140350877
6FB3,ASN2365_C,high_mannose,reference,glycoshape,reference_vs_glycoshape,7344,7344,7344,1.0,1.0,0.9407654008611637,0.871917086080282,0.0192689464869281,0.5691062853899493,452.41896499999996,348.29019399999993,-104.12877100000003,0.9301969128875187,0.8848584977821995,0.0005764342320261438,18,23,18,23,0.782608695652174
6FB3,ASN2365_C,high_mannose,glycoshield,glycoshape,glycoshield_vs_glycoshape,7344,7344,7344,1.0,1.0,0.8554471853756127,0.598676869111031,0.03458861968954249,0.686375536726895,384.813501,348.29019399999993,-36.523307000000045,0.7502159190601825,0.5851904072804054,0.001733841094771242,56,23,21,58,0.3620689655172414
6FB3,ASN2365_D,high_mannose,reference,glycoshield,reference_vs_glycoshield,7344,7344,7344,1.0,1.0,0.7570556237783269,0.6254677649109696,0.04249988916122004,0.9519534419149175,398.296427,308.027957,-90.26846999999998,0.7244171035962267,0.6293534750747146,0.0018155407135076252,17,38,16,39,0.41025641025641024
6FB3,ASN2365_D,high_mannose,reference,glycoshape,reference_vs_glycoshape,7344,7344,7344,1.0,1.0,0.9415647729409261,0.8545148005998168,0.015142172794117647,0.5048017995142977,398.296427,310.676456,-87.61997100000002,0.9379218351912793,0.8678689756942406,0.00048111832788671024,17,20,16,21,0.7619047619047619
6FB3,ASN2365_D,high_mannose,glycoshield,glycoshape,glycoshield_vs_glycoshape,7344,7344,7344,1.0,1.0,0.8672787876625606,0.6988142676215684,0.028954467728758166,0.6239219848473747,308.027957,310.676456,2.6484989999999584,0.7528578510816348,0.6887400397679935,0.0015613649237472766,38,20,19,39,0.48717948717948717
6X3X,ASN111_B,high_mannose,reference,glycoshield,reference_vs_glycoshield,2121,2121,2121,1.0,1.0,0.42940390408962686,0.41357922690662274,0.3859812192362093,3.1793288373996447,688.5980890000001,475.837061,-212.76102800000007,0.49635590190161577,0.43887159567804257,0.016533076379066477,30,115,26,119,0.2184873949579832
6X3X,ASN111_B,high_mannose,reference,glycoshape,reference_vs_glycoshape,2121,2121,2121,1.0,1.0,0.35634755523668293,0.48659809180528885,0.4637155223950966,3.910817110145001,688.5980890000001,623.973484,-64.62460500000009,0.2690792144277315,0.4915695137949511,0.01988056247053277,30,43,18,55,0.32727272727272727
6X3X,ASN111_B,high_mannose,glycoshield,glycoshape,glycoshield_vs_glycoshape,2121,2121,2121,1.0,1.0,0.05981289544126937,0.36864076150376734,0.4792144615747289,3.895292088010284,475.837061,623.973484,148.13642299999998,0.1264107215828558,0.3945659701523468,0.021735031588873174,115,43,29,129,0.2248062015503876
